Name,Lat,Lng
"Juarez, Ciudad De Mexico",19.426753,-99.16184489999999
"Santiago Amoltepec, Oaxaca",16.6412266,-97.49587539999999
"Jesus Maria, Ciudad De Mexico",19.4285562,-99.12851049999999
"Jesus Maria, Colima",19.2452342,-103.7240868
"Pantepec, Oaxaca",20.5200163,-97.9388566
"La Libertad, Yucatan",21.2519444,-87.77999989999999
"Saltillo, Coahuila De Zaragoza",25.4383234,-100.973678
"San Pedro, Mexico",25.6797838,-100.4168299
"La Independencia, Puebla",18.9761915,-98.2435045
"Aguascalientes, Aguascalientes",21.8852562,-102.2915677
"San Jose De Gracia, Baja California Sur",26.5877777,-112.7236111
"Matamoros, Zacatecas",24.8630555,-101.9952777
"Torreon, Coahuila De Zaragoza",25.5428443,-103.4067861
"Rincon De Romos, Ciudad De Mexico",22.2289132,-102.3206187
"Cosio, Ciudad De Mexico",19.38651,-99.1708046
"Pabellon De Arteaga, Morelos",22.1512779,-102.2746543
"Calvillo, Baja California Sur",21.8468345,-102.7186454
"Ixhuatan, Sonora",17.2925874,-93.00857309999999
"Juarez, Guanajuato",21.0153392,-101.2529986
"Villa Union, Chihuahua",28.69307,-106.138979
"Motozintla, Mexico",15.3691977,-92.2458096
"Jesus Maria, Tlaxcala",19.2803305,-98.2387823
"Asientos, Ciudad De Mexico",19.4514232,-99.1183021
"Tepezala, Chiapas",22.2241419,-102.1738022
"Tzimol, Mexico",16.1822673,-92.1845482
"El Llano, Ciudad De Mexico",19.28992,-99.14014499999999
"Ixhuatan, Zacatecas",16.3489502,-94.48255119999999
"Pabellon De Arteaga, Ciudad De Mexico",22.144474,-102.274822
"Jimenez, Ciudad De Mexico",27.1301401,-104.9230692
"Rincon De Romos, Durango",22.2289132,-102.3206187
"Sabinas, San Luis Potosi",22.1410263,-100.916814
"Matamoros, Ciudad De Mexico",19.3396593,-99.19575619999999
"Rincon Chamula San Pedro, Mexico",17.2076094,-92.9382114
"Parras, Mexico",25.4492883,-102.1747077
"Matamoros, Nayarit",32.4958872,-116.886105
"Calvillo, Ciudad De Mexico",21.8468345,-102.7186454
"Jimenez, Queretaro",20.6046696,-100.3943963
"Guerrero, Sinaloa",25.4833688,-108.3704892
"Benemerito De Las Americas, Puebla",19.0714446,-98.1980018
"Asientos, Colima",19.2452342,-103.7240868
"El Llano, Colima",19.2700208,-103.7397778
"Monclova, Coahuila De Zaragoza",26.9080378,-101.4215236
"La Trinitaria, Mexico",16.1188865,-92.0518154
"Hidalgo, Ciudad De Mexico",19.4306575,-99.20839529999999
"San Jose De Gracia, Ciudad De Mexico",22.1475929,-102.4129804
"Mazapa De Madero, Michoacan De Ocampo",15.387171,-92.187527
"Nicolas Ruiz, Mexico",16.4384722,-92.5836337
"Venustiano Carranza, Mexico",19.4306069,-99.0949899
"Aguascalientes, Guerrero",16.8424999,-99.64055549999999
"Ramos Arizpe, Coahuila De Zaragoza",25.5411499,-100.9483074
"Huitiupan, Jalisco",17.1705587,-92.6853429
"Pabellon De Arteaga, Sinaloa",22.144474,-102.274822
"San Francisco De Los Romo, Sinaloa",22.0745573,-102.2690988
"Pichucalco, Veracruz De Ignacio De La Llave",18.8475964,-97.10649869999999
"Rincon De Romos, Morelos",22.2351819,-102.358329
"Guerrero, Ciudad De Mexico",19.4445231,-99.14254230000002
"San Jose De Gracia, Quintana Roo",22.1475929,-102.4129804
"Ramos Arizpe, Guanajuato",25.5248362,-100.951194
"Morelos, Chiapas",17.0737055,-93.1325798
"Sunuapa, Jalisco",17.4901243,-93.2423498
"Pijijiapan, Puebla",15.6851709,-93.2122536
"Lamadrid, Ciudad De Mexico",19.3991223,-99.171066
"Juarez, Hidalgo",20.7857042,-98.82800639999999
"San Francisco De Los Romo, Ciudad De Mexico",22.0745573,-102.2690988
"San Buenaventura, Mexico",27.0554305,-101.5441455
"Villaflores, Mexico",16.2329693,-93.2734517
"Ocosingo, Puebla",16.908651,-92.09467149999999
"El Llano, Coahuila De Zaragoza",29.1013067,-102.8793316
"Mapastepec, Hidalgo",15.4329682,-92.8978399
"Ocotepec, Mexico",18.9695237,-99.2263574
"Rincon De Romos, Aguascalientes",22.2289132,-102.3206187
"Aguascalientes, Baja California",32.2819878,-115.1140592
"Juarez, Nayarit",21.6901277,-105.3888136
"San Jose De Gracia, Morelos",20.6741059,-102.5716834
"Piedras Negras, Morelos",28.6805128,-100.5078173
"Morelos, Nuevo Leon",25.1889176,-99.8363028
"Villa Union, Mexico",28.2237682,-100.7255689
"Juarez, Sinaloa",24.6554165,-107.5423794
"Jiquipilas, Nuevo Leon",16.66914,-93.6480054
"Zaragoza, Tamaulipas",27.484189,-99.49644520000001
"Pantepec, Jalisco",20.5200163,-97.9388566
"Monclova, Morelos",26.8917147,-101.4173511
"Santiago El Pinar, Puebla",19.0414398,-98.2062727
"Huitiupan, Mexico",17.1705587,-92.6853429
"El Parral, Mexico",26.9317835,-105.6666166
"Pabellon De Arteaga, Aguascalientes",22.144474,-102.274822
"San Jose De Gracia, Sinaloa",26.1463888,-107.8913887
"Rayon, Jalisco",20.6678881,-103.3570011
"El Llano, Michoacan De Ocampo",20.0317259,-102.3793231
"Huitiupan, Nuevo Leon",17.1705587,-92.6853429
"Cosio, Tabasco",17.9764322,-92.98526129999999
"Monclova, Sinaloa",26.8913622,-101.3815164
"Aguascalientes, Quintana Roo",21.9059816,-102.2967251
"Tuxtla Gutierrez, Chiapas",16.7516009,-93.1029939
"Muzquiz, Guanajuato",20.5146804,-100.7871151
"Santa Lucia Del Camino, Oaxaca",17.061863,-96.6971832
"Palenque, Chiapas",17.5109792,-91.9930466
"Sabinas, Jalisco",26.5039114,-100.1766158
"San Dionisio Ocotepec, Veracruz De Ignacio De La Llave",16.7983019,-96.3965776
"Jesus Maria, Baja California",28.2813888,-114.0011111
"Pabellon De Arteaga, Nuevo Leon",22.144474,-102.274822
"Monclova, Sonora",26.8874935,-101.4289809
"Animas Trujano, Puebla",16.9892472,-96.7132783
"San Francisco De Los Romo, Mexico",22.0745573,-102.2690988
"Hidalgo, Tabasco",18.2592639,-93.31174109999999
"Soyalo, Puebla",16.8905692,-92.9227329
"Ixhuatan, Guanajuato",16.3489502,-94.48255119999999
"Matamoros, Sinaloa",25.8418516,-97.5123631
"Tuxtla Gutierrez, Mexico",16.7516009,-93.1029939
"Sabanilla, Mexico",17.2822829,-92.5517584
"Nava, Tamaulipas",28.4212302,-100.7638814
"Sabinas, Veracruz De Ignacio De La Llave",21.3180717,-97.8808296
"San Cristobal Lachirioag, Veracruz De Ignacio De La Llave",17.3369574,-96.1640333
"Ocotepec, Michoacan De Ocampo",19.5528459,-97.6471139
"Ixtapangajoya, Puebla",17.495665,-93.001862
"Saltillo, Sonora",25.4055613,-100.9205674
"Ixtapangajoya, Nuevo Leon",17.495665,-93.001862
"Maravilla Tenejapa, Mexico",16.1409664,-91.2927151
"San Juan Chicomezuchil, Puebla",19.0978835,-98.21412099999999
"San Francisco Chindua, Puebla",17.4292209,-97.3116112
"Sacramento, Sonora",38.5815719,-121.4943996
"Calvillo, Guanajuato",21.1133334,-101.1330555
"Pabellon De Arteaga, Jalisco",22.144474,-102.274822
"Sacramento, Morelos",38.5740674,-121.4181263
"San Jose De Gracia, Mexico",22.1475929,-102.4129804
"Sierra Mojada, Puebla",27.2906955,-103.7014059
"Piedras Negras, Coahuila De Zaragoza",28.6916182,-100.5408622
"San Juan Bautista Guelache, Veracruz De Ignacio De La Llave",17.2272433,-96.7773563
"Solosuchiapa, Michoacan De Ocampo",17.4297762,-93.0355476
"Tepezala, Tamaulipas",22.2241419,-102.1738022
"San Juan Cacahuatepec, Puebla",16.6156152,-98.1567443
"Sacramento, Guerrero",38.5172816,-121.4339657
"Sacramento, Mexico",27.0033867,-101.7247054
"Santa Maria Huatulco, Oaxaca",15.8340071,-96.31994879999999
"Ixtapa, Tlaxcala",17.6625661,-101.58734
"San Pedro, Guanajuato",21.1174999,-100.6663887
"Monclova, Mexico",26.9080378,-101.4215236
"El Llano, Sinaloa",25.3302777,-108.2686111
"Progreso, Nuevo Leon",25.6976991,-100.3350543
"Calvillo, Campeche",21.8468345,-102.7186454
"Suchiate, Veracruz De Ignacio De La Llave",14.625187,-92.243931
"Jesus Maria, Mexico",20.6040529,-102.2236954
"Nadadores, Morelos",27.0293849,-101.5916295
"Ocotepec, Sonora",18.9695237,-99.2263574
"Ixtapangajoya, Oaxaca",17.495665,-93.001862
"Ixtapa, Veracruz De Ignacio De La Llave",17.6625661,-101.58734
"Pabellon De Arteaga, Coahuila De Zaragoza",22.144474,-102.274822
"Muzquiz, Nayarit",27.8773593,-101.4830266
"Tepezala, Quintana Roo",22.2241419,-102.1738022
"Tuzantan, Mexico",15.1466006,-92.4221065
"Matamoros, Guanajuato",25.8561878,-97.5030211
"Ixtacomitan, Oaxaca",17.4295464,-93.0973264
"Jimenez, Tlaxcala",19.3099175,-98.24262979999999
"Las Margaritas, Hidalgo",19.9981577,-98.72461899999999
"Progreso, Tlaxcala",19.2025953,-97.90413939999999
"Santa Cruz Xoxocotlan, Oaxaca",17.0193584,-96.74942159999999
"Matamoros, Guerrero",18.4505555,-101.8413888
"San Pedro, Sonora",27.0171299,-109.6239011
"San Juan De Sabinas, Tamaulipas",27.9270787,-101.3023954
"Matamoros, Coahuila De Zaragoza",25.5260426,-103.2259525
"El Llano, Zacatecas",23.2299152,-102.6767094
"Ramos Arizpe, Tamaulipas",22.2599602,-97.8361199
"Rincon De Romos, Tabasco",22.2289132,-102.3206187
"Sabinas, Tlaxcala",27.8647835,-101.1334267
"Hidalgo, Tlaxcala",19.3162266,-98.2378853
"Piedras Negras, Mexico",28.6916182,-100.5408622
"Juarez, Puebla",19.0513101,-98.2178404
"Huitiupan, Veracruz De Ignacio De La Llave",17.1705587,-92.6853429
"Pabellon De Arteaga, Queretaro",22.144474,-102.274822
"Ixtapangajoya, Sonora",17.495665,-93.001862
"Viesca, Sonora",25.3453848,-102.8083503
"Pijijiapan, Hidalgo",15.6919185,-93.2095719
"Calvillo, Quintana Roo",21.8573666,-102.6949386
"Matamoros, Tabasco",17.553794,-92.9029149
"Nadadores, Hidalgo",27.0253414,-101.5922319
"Calvillo, Tabasco",21.8468345,-102.7186454
"Asientos, Mexico",22.2384759,-102.0890156
"Monclova, Nuevo Leon",25.8145436,-100.3982221
"San Pedro, Tlaxcala",19.3066666,-98.14
"Aguascalientes, Jalisco",21.9057027,-102.2604448
"Tuzantan, Michoacan De Ocampo",19.2066671,-100.5753759
"San Ildefonso Villa Alta, Puebla",17.3385986,-96.1523763
"Tepezala, Aguascalientes",22.2241419,-102.1738022
"San Mateo Rio Hondo, Oaxaca",16.1694647,-96.50096180000001
"Metapa, Guerrero",14.8404304,-92.18839799999999
